"orderNumber";"orderDate";"requiredDate";"shippedDate";"status";"comments";"customerNumber"
10159;"2003-10-10 00:00:00";"2003-10-19 00:00:00";"2003-10-16 00:00:00";"Shipped";"";321
10160;"2003-10-11 00:00:00";"2003-10-17 00:00:00";"2003-10-17 00:00:00";"Shipped";"";347
10161;"2003-10-17 00:00:00";"2003-10-25 00:00:00";"2003-10-20 00:00:00";"Shipped";"";227
10162;"2003-10-18 00:00:00";"2003-10-26 00:00:00";"2003-10-19 00:00:00";"Shipped";"";321
10163;"2003-10-20 00:00:00";"2003-10-27 00:00:00";"2003-10-24 00:00:00";"Shipped";"";424
10164;"2003-10-21 00:00:00";"2003-10-30 00:00:00";"2003-10-23 00:00:00";"Resolved";"This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.";452
10165;"2003-10-22 00:00:00";"2003-10-31 00:00:00";"2003-12-26 00:00:00";"Shipped";"This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received";148
10166;"2003-10-21 00:00:00";"2003-10-30 00:00:00";"2003-10-27 00:00:00";"Shipped";"";462
10167;"2003-10-23 00:00:00";"2003-10-30 00:00:00";"";"Cancelled";"Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.";448
10168;"2003-10-28 00:00:00";"2003-11-03 00:00:00";"2003-11-01 00:00:00";"Shipped";"";161
10169;"2003-11-04 00:00:00";"2003-11-14 00:00:00";"2003-11-09 00:00:00";"Shipped";"";276
10170;"2003-11-04 00:00:00";"2003-11-12 00:00:00";"2003-11-07 00:00:00";"Shipped";"";452
10171;"2003-11-05 00:00:00";"2003-11-13 00:00:00";"2003-11-07 00:00:00";"Shipped";"";233
10172;"2003-11-05 00:00:00";"2003-11-14 00:00:00";"2003-11-11 00:00:00";"Shipped";"";175
10173;"2003-11-05 00:00:00";"2003-11-15 00:00:00";"2003-11-09 00:00:00";"Shipped";"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shipments of Porches";278
10174;"2003-11-06 00:00:00";"2003-11-15 00:00:00";"2003-11-10 00:00:00";"Shipped";"";333
10175;"2003-11-06 00:00:00";"2003-11-14 00:00:00";"2003-11-09 00:00:00";"Shipped";"";324
10176;"2003-11-06 00:00:00";"2003-11-15 00:00:00";"2003-11-12 00:00:00";"Shipped";"";386
10177;"2003-11-07 00:00:00";"2003-11-17 00:00:00";"2003-11-12 00:00:00";"Shipped";"";344
10178;"2003-11-08 00:00:00";"2003-11-16 00:00:00";"2003-11-10 00:00:00";"Shipped";"Custom shipping instructions sent to warehouse";242
10179;"2003-11-11 00:00:00";"2003-11-17 00:00:00";"2003-11-13 00:00:00";"Cancelled";"Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.";496
10180;"2003-11-11 00:00:00";"2003-11-19 00:00:00";"2003-11-14 00:00:00";"Shipped";"";171
10181;"2003-11-12 00:00:00";"2003-11-19 00:00:00";"2003-11-15 00:00:00";"Shipped";"";167
10182;"2003-11-12 00:00:00";"2003-11-21 00:00:00";"2003-11-18 00:00:00";"Shipped";"";124
10183;"2003-11-13 00:00:00";"2003-11-22 00:00:00";"2003-11-15 00:00:00";"Shipped";"We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.";339
10184;"2003-11-14 00:00:00";"2003-11-22 00:00:00";"2003-11-20 00:00:00";"Shipped";"";484
10185;"2003-11-14 00:00:00";"2003-11-21 00:00:00";"2003-11-20 00:00:00";"Shipped";"";320
10186;"2003-11-14 00:00:00";"2003-11-20 00:00:00";"2003-11-18 00:00:00";"Shipped";"They want to reevaluate their terms agreement with the VP of Sales";489
10187;"2003-11-15 00:00:00";"2003-11-24 00:00:00";"2003-11-16 00:00:00";"Shipped";"";211
10188;"2003-11-18 00:00:00";"2003-11-26 00:00:00";"2003-11-24 00:00:00";"Shipped";"";167
10189;"2003-11-18 00:00:00";"2003-11-25 00:00:00";"2003-11-24 00:00:00";"Shipped";"They want to reevaluate their terms agreement with Finance.";205
10190;"2003-11-19 00:00:00";"2003-11-29 00:00:00";"2003-11-20 00:00:00";"Shipped";"";141
10191;"2003-11-20 00:00:00";"2003-11-30 00:00:00";"2003-11-24 00:00:00";"Shipped";"We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.";259
10192;"2003-11-20 00:00:00";"2003-11-29 00:00:00";"2003-11-25 00:00:00";"Shipped";"";363
10193;"2003-11-21 00:00:00";"2003-11-28 00:00:00";"2003-11-27 00:00:00";"Shipped";"";471
10194;"2003-11-25 00:00:00";"2003-12-02 00:00:00";"2003-11-26 00:00:00";"Shipped";"";146
10195;"2003-11-25 00:00:00";"2003-12-01 00:00:00";"2003-11-28 00:00:00";"Shipped";"";319
10196;"2003-11-26 00:00:00";"2003-12-03 00:00:00";"2003-12-01 00:00:00";"Shipped";"";455
10197;"2003-11-26 00:00:00";"2003-12-02 00:00:00";"2003-12-01 00:00:00";"Shipped";"Customer inquired about remote controlled models and gold models.";216
10198;"2003-11-27 00:00:00";"2003-12-06 00:00:00";"2003-12-03 00:00:00";"Shipped";"";385
10199;"2003-12-01 00:00:00";"2003-12-10 00:00:00";"2003-12-06 00:00:00";"Shipped";"";475
10200;"2003-12-01 00:00:00";"2003-12-09 00:00:00";"2003-12-06 00:00:00";"Shipped";"";211
10201;"2003-12-01 00:00:00";"2003-12-11 00:00:00";"2003-12-02 00:00:00";"Shipped";"";129
10202;"2003-12-02 00:00:00";"2003-12-09 00:00:00";"2003-12-06 00:00:00";"Shipped";"";357
10203;"2003-12-02 00:00:00";"2003-12-11 00:00:00";"2003-12-07 00:00:00";"Shipped";"";141
10204;"2003-12-02 00:00:00";"2003-12-10 00:00:00";"2003-12-04 00:00:00";"Shipped";"";151
10205;"2003-12-03 00:00:00";"2003-12-09 00:00:00";"2003-12-07 00:00:00";"Shipped";" I need all the information I can get on our competitors.";141
10206;"2003-12-05 00:00:00";"2003-12-13 00:00:00";"2003-12-08 00:00:00";"Shipped";"Can we renegotiate this one?";202
10207;"2003-12-09 00:00:00";"2003-12-17 00:00:00";"2003-12-11 00:00:00";"Shipped";"Check on availability.";495
10208;"2004-01-02 00:00:00";"2004-01-11 00:00:00";"2004-01-04 00:00:00";"Shipped";"";146
10209;"2004-01-09 00:00:00";"2004-01-15 00:00:00";"2004-01-12 00:00:00";"Shipped";"";347
10210;"2004-01-12 00:00:00";"2004-01-22 00:00:00";"2004-01-20 00:00:00";"Shipped";"";177
10211;"2004-01-15 00:00:00";"2004-01-25 00:00:00";"2004-01-18 00:00:00";"Shipped";"";406
10212;"2004-01-16 00:00:00";"2004-01-24 00:00:00";"2004-01-18 00:00:00";"Shipped";"";141
10213;"2004-01-22 00:00:00";"2004-01-28 00:00:00";"2004-01-27 00:00:00";"Shipped";"Difficult to negotiate with customer. We need more marketing materials";489
10214;"2004-01-26 00:00:00";"2004-02-04 00:00:00";"2004-01-29 00:00:00";"Shipped";"";458
10215;"2004-01-29 00:00:00";"2004-02-08 00:00:00";"2004-02-01 00:00:00";"Shipped";"Customer requested that FedEx Ground is used for this shipping";475
10216;"2004-02-02 00:00:00";"2004-02-10 00:00:00";"2004-02-04 00:00:00";"Shipped";"";256
10217;"2004-02-04 00:00:00";"2004-02-14 00:00:00";"2004-02-06 00:00:00";"Shipped";"";166
10218;"2004-02-09 00:00:00";"2004-02-16 00:00:00";"2004-02-11 00:00:00";"Shipped";"Customer requested that ad materials (such as posters, pamphlets) be included in the shipment";473
10219;"2004-02-10 00:00:00";"2004-02-17 00:00:00";"2004-02-12 00:00:00";"Shipped";"";487
10220;"2004-02-12 00:00:00";"2004-02-19 00:00:00";"2004-02-16 00:00:00";"Shipped";"";189
10221;"2004-02-18 00:00:00";"2004-02-26 00:00:00";"2004-02-19 00:00:00";"Shipped";"";314
10222;"2004-02-19 00:00:00";"2004-02-27 00:00:00";"2004-02-20 00:00:00";"Shipped";"";239
10223;"2004-02-20 00:00:00";"2004-02-29 00:00:00";"2004-02-24 00:00:00";"Shipped";"";114
10224;"2004-02-21 00:00:00";"2004-03-02 00:00:00";"2004-02-26 00:00:00";"Shipped";"Customer has worked with some of our vendors in the past and is aware of their MSRP";171
10225;"2004-02-22 00:00:00";"2004-03-01 00:00:00";"2004-02-24 00:00:00";"Shipped";"";298
10226;"2004-02-26 00:00:00";"2004-03-06 00:00:00";"2004-03-02 00:00:00";"Shipped";"";239
10227;"2004-03-02 00:00:00";"2004-03-12 00:00:00";"2004-03-08 00:00:00";"Shipped";"";146
10228;"2004-03-10 00:00:00";"2004-03-18 00:00:00";"2004-03-13 00:00:00";"Shipped";"";173
10229;"2004-03-11 00:00:00";"2004-03-20 00:00:00";"2004-03-12 00:00:00";"Shipped";"";124
10230;"2004-03-15 00:00:00";"2004-03-24 00:00:00";"2004-03-20 00:00:00";"Shipped";"Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch";128
10231;"2004-03-19 00:00:00";"2004-03-26 00:00:00";"2004-03-25 00:00:00";"Shipped";"";344
10232;"2004-03-20 00:00:00";"2004-03-30 00:00:00";"2004-03-25 00:00:00";"Shipped";"";240
10233;"2004-03-29 00:00:00";"2004-04-04 00:00:00";"2004-04-02 00:00:00";"Shipped";"Customer requested special shipment. The instructions were passed along to the warehouse";328
10234;"2004-03-30 00:00:00";"2004-04-05 00:00:00";"2004-04-02 00:00:00";"Shipped";"";412
10235;"2004-04-02 00:00:00";"2004-04-12 00:00:00";"2004-04-06 00:00:00";"Shipped";"";260
10236;"2004-04-03 00:00:00";"2004-04-11 00:00:00";"2004-04-08 00:00:00";"Shipped";"";486
10237;"2004-04-05 00:00:00";"2004-04-12 00:00:00";"2004-04-10 00:00:00";"Shipped";"";181
10238;"2004-04-09 00:00:00";"2004-04-16 00:00:00";"2004-04-10 00:00:00";"Shipped";"";145
10239;"2004-04-12 00:00:00";"2004-04-21 00:00:00";"2004-04-17 00:00:00";"Shipped";"";311
10240;"2004-04-13 00:00:00";"2004-04-20 00:00:00";"2004-04-20 00:00:00";"Shipped";"";177
10241;"2004-04-13 00:00:00";"2004-04-20 00:00:00";"2004-04-19 00:00:00";"Shipped";"";209
10242;"2004-04-20 00:00:00";"2004-04-28 00:00:00";"2004-04-25 00:00:00";"Shipped";"Customer is interested in buying more Ferrari models";456
10243;"2004-04-26 00:00:00";"2004-05-03 00:00:00";"2004-04-28 00:00:00";"Shipped";"";495
10244;"2004-04-29 00:00:00";"2004-05-09 00:00:00";"2004-05-04 00:00:00";"Shipped";"";141
10245;"2004-05-04 00:00:00";"2004-05-12 00:00:00";"2004-05-09 00:00:00";"Shipped";"";455
10246;"2004-05-05 00:00:00";"2004-05-13 00:00:00";"2004-05-06 00:00:00";"Shipped";"";141
10247;"2004-05-05 00:00:00";"2004-05-11 00:00:00";"2004-05-08 00:00:00";"Shipped";"";334
10248;"2004-05-07 00:00:00";"2004-05-14 00:00:00";"";"Cancelled";"Order was mistakenly placed. The warehouse noticed the lack of documentation.";131
10249;"2004-05-08 00:00:00";"2004-05-17 00:00:00";"2004-05-11 00:00:00";"Shipped";"Can we deliver the new Ford Mustang models by end-of-quarter?";173
10250;"2004-05-11 00:00:00";"2004-05-19 00:00:00";"2004-05-15 00:00:00";"Shipped";"";450
10251;"2004-05-18 00:00:00";"2004-05-24 00:00:00";"2004-05-24 00:00:00";"Shipped";"";328
10252;"2004-05-26 00:00:00";"2004-06-04 00:00:00";"2004-05-29 00:00:00";"Shipped";"";406
10253;"2004-06-01 00:00:00";"2004-06-09 00:00:00";"2004-06-02 00:00:00";"Cancelled";"Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.";201
10254;"2004-06-03 00:00:00";"2004-06-13 00:00:00";"2004-06-04 00:00:00";"Shipped";"Customer requested that DHL is used for this shipping";323
10255;"2004-06-04 00:00:00";"2004-06-12 00:00:00";"2004-06-09 00:00:00";"Shipped";"";209
10256;"2004-06-08 00:00:00";"2004-06-16 00:00:00";"2004-06-10 00:00:00";"Shipped";"";145
10257;"2004-06-14 00:00:00";"2004-06-24 00:00:00";"2004-06-15 00:00:00";"Shipped";"";450
10258;"2004-06-15 00:00:00";"2004-06-25 00:00:00";"2004-06-23 00:00:00";"Shipped";"";398
10259;"2004-06-15 00:00:00";"2004-06-22 00:00:00";"2004-06-17 00:00:00";"Shipped";"";166
10260;"2004-06-16 00:00:00";"2004-06-22 00:00:00";"";"Cancelled";"Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.";357
10261;"2004-06-17 00:00:00";"2004-06-25 00:00:00";"2004-06-22 00:00:00";"Shipped";"";233
10262;"2004-06-24 00:00:00";"2004-07-01 00:00:00";"";"Cancelled";"This customer found a better offer from one of our competitors. Will call back to renegotiate.";141
10263;"2004-06-28 00:00:00";"2004-07-04 00:00:00";"2004-07-02 00:00:00";"Shipped";"";175
10264;"2004-06-30 00:00:00";"2004-07-06 00:00:00";"2004-07-01 00:00:00";"Shipped";"Customer will send a truck to our local warehouse on 7/1/2004";362
10265;"2004-07-02 00:00:00";"2004-07-09 00:00:00";"2004-07-07 00:00:00";"Shipped";"";471
10266;"2004-07-06 00:00:00";"2004-07-14 00:00:00";"2004-07-10 00:00:00";"Shipped";"";386
10267;"2004-07-07 00:00:00";"2004-07-17 00:00:00";"2004-07-09 00:00:00";"Shipped";"";151
10268;"2004-07-12 00:00:00";"2004-07-18 00:00:00";"2004-07-14 00:00:00";"Shipped";"";412
10269;"2004-07-16 00:00:00";"2004-07-22 00:00:00";"2004-07-18 00:00:00";"Shipped";"";382
10270;"2004-07-19 00:00:00";"2004-07-27 00:00:00";"2004-07-24 00:00:00";"Shipped";"Can we renegotiate this one?";282
10271;"2004-07-20 00:00:00";"2004-07-29 00:00:00";"2004-07-23 00:00:00";"Shipped";"";124
10272;"2004-07-20 00:00:00";"2004-07-26 00:00:00";"2004-07-22 00:00:00";"Shipped";"";157
10273;"2004-07-21 00:00:00";"2004-07-28 00:00:00";"2004-07-22 00:00:00";"Shipped";"";314
10274;"2004-07-21 00:00:00";"2004-07-29 00:00:00";"2004-07-22 00:00:00";"Shipped";"";379
10275;"2004-07-23 00:00:00";"2004-08-02 00:00:00";"2004-07-29 00:00:00";"Shipped";"";119
10276;"2004-08-02 00:00:00";"2004-08-11 00:00:00";"2004-08-08 00:00:00";"Shipped";"";204
10277;"2004-08-04 00:00:00";"2004-08-12 00:00:00";"2004-08-05 00:00:00";"Shipped";"";148
10278;"2004-08-06 00:00:00";"2004-08-16 00:00:00";"2004-08-09 00:00:00";"Shipped";"";112
10279;"2004-08-09 00:00:00";"2004-08-19 00:00:00";"2004-08-15 00:00:00";"Shipped";"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shipments of Porches";141
10280;"2004-08-17 00:00:00";"2004-08-27 00:00:00";"2004-08-19 00:00:00";"Shipped";"";249
10281;"2004-08-19 00:00:00";"2004-08-28 00:00:00";"2004-08-23 00:00:00";"Shipped";"";157
10282;"2004-08-20 00:00:00";"2004-08-26 00:00:00";"2004-08-22 00:00:00";"Shipped";"";124
10283;"2004-08-20 00:00:00";"2004-08-30 00:00:00";"2004-08-23 00:00:00";"Shipped";"";260
10284;"2004-08-21 00:00:00";"2004-08-29 00:00:00";"2004-08-26 00:00:00";"Shipped";"Custom shipping instructions sent to warehouse";299
10285;"2004-08-27 00:00:00";"2004-09-04 00:00:00";"2004-08-31 00:00:00";"Shipped";"";286
10286;"2004-08-28 00:00:00";"2004-09-06 00:00:00";"2004-09-01 00:00:00";"Shipped";"";172
10287;"2004-08-30 00:00:00";"2004-09-06 00:00:00";"2004-09-01 00:00:00";"Shipped";"";298
10288;"2004-09-01 00:00:00";"2004-09-11 00:00:00";"2004-09-05 00:00:00";"Shipped";"";166
10289;"2004-09-03 00:00:00";"2004-09-13 00:00:00";"2004-09-04 00:00:00";"Shipped";"We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.";167
10290;"2004-09-07 00:00:00";"2004-09-15 00:00:00";"2004-09-13 00:00:00";"Shipped";"";198
10291;"2004-09-08 00:00:00";"2004-09-17 00:00:00";"2004-09-14 00:00:00";"Shipped";"";448
10292;"2004-09-08 00:00:00";"2004-09-18 00:00:00";"2004-09-11 00:00:00";"Shipped";"They want to reevaluate their terms agreement with Finance.";131
10293;"2004-09-09 00:00:00";"2004-09-18 00:00:00";"2004-09-14 00:00:00";"Shipped";"";249
10294;"2004-09-10 00:00:00";"2004-09-17 00:00:00";"2004-09-14 00:00:00";"Shipped";"";204
10295;"2004-09-10 00:00:00";"2004-09-17 00:00:00";"2004-09-14 00:00:00";"Shipped";"They want to reevaluate their terms agreement with Finance.";362
10296;"2004-09-15 00:00:00";"2004-09-22 00:00:00";"2004-09-16 00:00:00";"Shipped";"";415
10297;"2004-09-16 00:00:00";"2004-09-22 00:00:00";"2004-09-21 00:00:00";"Shipped";"We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.";189
10298;"2004-09-27 00:00:00";"2004-10-05 00:00:00";"2004-10-01 00:00:00";"Shipped";"";103
10299;"2004-09-30 00:00:00";"2004-10-10 00:00:00";"2004-10-01 00:00:00";"Shipped";"";186
10300;"2003-10-04 00:00:00";"2003-10-13 00:00:00";"2003-10-09 00:00:00";"Shipped";"";128
10301;"2003-10-05 00:00:00";"2003-10-15 00:00:00";"2003-10-08 00:00:00";"Shipped";"";299
10302;"2003-10-06 00:00:00";"2003-10-16 00:00:00";"2003-10-07 00:00:00";"Shipped";"";201
10303;"2004-10-06 00:00:00";"2004-10-14 00:00:00";"2004-10-09 00:00:00";"Shipped";"Customer inquired about remote controlled models and gold models.";484
10304;"2004-10-11 00:00:00";"2004-10-20 00:00:00";"2004-10-17 00:00:00";"Shipped";"";256
10305;"2004-10-13 00:00:00";"2004-10-22 00:00:00";"2004-10-15 00:00:00";"Shipped";"Check on availability.";286
10306;"2004-10-14 00:00:00";"2004-10-21 00:00:00";"2004-10-17 00:00:00";"Shipped";"";187
10307;"2004-10-14 00:00:00";"2004-10-23 00:00:00";"2004-10-20 00:00:00";"Shipped";"";339
10308;"2004-10-15 00:00:00";"2004-10-24 00:00:00";"2004-10-20 00:00:00";"Shipped";"Customer requested that FedEx Ground is used for this shipping";319
10309;"2004-10-15 00:00:00";"2004-10-24 00:00:00";"2004-10-18 00:00:00";"Shipped";"";121
10310;"2004-10-16 00:00:00";"2004-10-24 00:00:00";"2004-10-18 00:00:00";"Shipped";"";259
10311;"2004-10-16 00:00:00";"2004-10-23 00:00:00";"2004-10-20 00:00:00";"Shipped";"Difficult to negotiate with customer. We need more marketing materials";141
10312;"2004-10-21 00:00:00";"2004-10-27 00:00:00";"2004-10-23 00:00:00";"Shipped";"";124
10313;"2004-10-22 00:00:00";"2004-10-28 00:00:00";"2004-10-25 00:00:00";"Shipped";"Customer requested that FedEx Ground is used for this shipping";202
10314;"2004-10-22 00:00:00";"2004-11-01 00:00:00";"2004-10-23 00:00:00";"Shipped";"";227
10315;"2004-10-29 00:00:00";"2004-11-08 00:00:00";"2004-10-30 00:00:00";"Shipped";"";119
10316;"2004-11-01 00:00:00";"2004-11-09 00:00:00";"2004-11-07 00:00:00";"Shipped";"Customer requested that ad materials (such as posters, pamphlets) be included in the shipment";240
10317;"2004-11-02 00:00:00";"2004-11-12 00:00:00";"2004-11-08 00:00:00";"Shipped";"";161
10318;"2004-11-02 00:00:00";"2004-11-09 00:00:00";"2004-11-07 00:00:00";"Shipped";"";157
10319;"2004-11-03 00:00:00";"2004-11-11 00:00:00";"2004-11-06 00:00:00";"Shipped";"Customer requested that DHL is used for this shipping";456
10320;"2004-11-03 00:00:00";"2004-11-13 00:00:00";"2004-11-07 00:00:00";"Shipped";"";144
10321;"2004-11-04 00:00:00";"2004-11-12 00:00:00";"2004-11-07 00:00:00";"Shipped";"";462
10322;"2004-11-04 00:00:00";"2004-11-12 00:00:00";"2004-11-10 00:00:00";"Shipped";"Customer has worked with some of our vendors in the past and is aware of their MSRP";363
10323;"2004-11-05 00:00:00";"2004-11-12 00:00:00";"2004-11-09 00:00:00";"Shipped";"";128
10324;"2004-11-05 00:00:00";"2004-11-11 00:00:00";"2004-11-08 00:00:00";"Shipped";"";181
10325;"2004-11-05 00:00:00";"2004-11-13 00:00:00";"2004-11-08 00:00:00";"Shipped";"";121
10326;"2004-11-09 00:00:00";"2004-11-16 00:00:00";"2004-11-10 00:00:00";"Shipped";"";144
10327;"2004-11-10 00:00:00";"2004-11-19 00:00:00";"2004-11-13 00:00:00";"Resolved";"Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.";145
